s,a,r,sp
,0,2340106.915253657,0
0,3,10.795712914317846,03
03,8,2808594.1048810845,038
038,2,120206.83701399341,0238
0238,3,-1000000,0238
0238,7,2734043.8295378126,02378
02378,8,-1000000,02378
02378,4,-2734043.7282604976,023478
023478,8,-1000000,023478
023478,7,-1000000,023478
023478,4,-1000000,023478
023478,1,2942268.9099302506,0123478
0123478,3,-1000000,0123478
0123478,4,-1000000,0123478
0123478,0,-1000000,0123478
0123478,0,-1000000,0123478
0123478,8,-1000000,0123478
0123478,1,-1000000,0123478
0123478,8,-1000000,0123478
0123478,1,-1000000,0123478
0123478,7,-1000000,0123478
0123478,7,-1000000,0123478
0123478,8,-1000000,0123478
0123478,7,-1000000,0123478
0123478,2,-1000000,0123478
0123478,0,-1000000,0123478
0123478,3,-1000000,0123478
0123478,0,-1000000,0123478
0123478,3,-1000000,0123478
0123478,4,-1000000,0123478
0123478,1,-1000000,0123478
0123478,5,0.0,01234578
01234578,8,-1000000,01234578
01234578,4,-1000000,01234578
01234578,4,-1000000,01234578
01234578,6,0.0,012345678
012345678,0,-1000000,012345678
,7,2899957.661329106,7
7,0,2340106.9152536574,07
07,4,-2899957.6613291064,047
047,7,-1000000,047
047,0,-1000000,047
047,6,0.0038702012971043587,0467
0467,7,-1000000,0467
0467,2,2928800.941895078,02467
02467,8,0.0,024678
024678,8,-1000000,024678
024678,1,2942279.80692048,0124678
0124678,6,-1000000,0124678
0124678,7,-1000000,0124678
0124678,2,-1000000,0124678
0124678,7,-1000000,0124678
0124678,2,-1000000,0124678
0124678,5,2877.614406535402,01245678
01245678,4,-1000000,01245678
01245678,1,-1000000,01245678
01245678,7,-1000000,01245678
01245678,6,-1000000,01245678
01245678,6,-1000000,01245678
01245678,8,-1000000,01245678
01245678,3,-0.0038702012971043587,012345678
012345678,8,-1000000,012345678
,4,2899957.661329106,4
4,8,241332.79024769925,48
48,1,728420.9842820405,148
148,0,1654008.0765629895,0148
0148,5,-155222.78741462715,01458
01458,1,-1000000,01458
01458,6,0.0,014568
014568,5,-1000000,014568
014568,5,-1000000,014568
014568,7,317.97328035067767,0145678
0145678,2,2842690.939062007,01245678
01245678,7,-1000000,01245678
01245678,8,-1000000,01245678
01245678,1,-1000000,01245678
01245678,6,-1000000,01245678
01245678,1,-1000000,01245678
01245678,5,-1000000,01245678
01245678,7,-1000000,01245678
01245678,3,-317.97328035067767,012345678
012345678,7,-1000000,012345678
,3,2337822.7996203518,3
3,2,2928800.941895078,23
23,8,0.0,238
238,3,-1000000,238
238,6,0.0,2368
2368,6,-1000000,2368
2368,0,2284.115633305162,02368
02368,7,2899957.6613291055,023678
023678,7,-1000000,023678
023678,8,-1000000,023678
023678,0,-1000000,023678
023678,2,-1000000,023678
023678,8,-1000000,023678
023678,6,-1000000,023678
023678,0,-1000000,023678
023678,6,-1000000,023678
023678,2,-1000000,023678
023678,0,-1000000,023678
023678,0,-1000000,023678
023678,1,67178.0326073831,0123678
0123678,7,-1000000,0123678
0123678,4,-24855.887016008608,01234678
01234678,4,-1000000,01234678
01234678,5,0.0,012345678
012345678,5,-1000000,012345678
,1,2942279.8069204786,1
1,8,2808594.104881085,18
18,0,2340106.915253657,018
018,1,-1000000,018
018,7,2845.0836918763816,0178
0178,0,-1000000,0178
0178,4,-2811439.188572961,01478
01478,6,0.0,014678
014678,1,-1000000,014678
014678,7,-1000000,014678
014678,3,0.0,0134678
0134678,3,-1000000,0134678
0134678,4,-1000000,0134678
